GeneName	RefSeq_Summary
LOC112323210	uncharacterized LOC112323210	uncharacterized LOC112323210
LOC112323211	6-phosphogluconate dehydrogenase, decarboxylating 3-like	6-phosphogluconate dehydrogenase, decarboxylating 3-like
LOC112323212	probable ubiquitin conjugation factor E4	probable ubiquitin conjugation factor E4
LOC112323213	serine/arginine-rich splicing factor SC35-like	serine/arginine-rich splicing factor SC35-like
LOC112323214	methionine aminopeptidase 1B, chloroplastic-like	methionine aminopeptidase 1B, chloroplastic-like
LOC112323215	pentatricopeptide repeat-containing protein At3g29230	pentatricopeptide repeat-containing protein At3g29230
LOC112323216	mitochondrial import inner membrane translocase subunit TIM17-2-like	mitochondrial import inner membrane translocase subunit TIM17-2-like
LOC112323217	rust resistance kinase Lr10-like	rust resistance kinase Lr10-like
LOC112323218	putative disease resistance protein RGA4	putative disease resistance protein RGA4
LOC112323219	serine/arginine-rich-splicing factor SR34-like	serine/arginine-rich-splicing factor SR34-like
LOC112323220	uncharacterized LOC112323220	uncharacterized LOC112323220
LOC112323221	uncharacterized LOC112323221	uncharacterized LOC112323221
LOC112323222	ammonium transporter 3 member 2-like	ammonium transporter 3 member 2-like
LOC112323223	V-type proton ATPase subunit E-like	V-type proton ATPase subunit E-like
LOC112323224	uncharacterized LOC112323224	uncharacterized LOC112323224
LOC112323225	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1
LOC112323226	2-alkenal reductase (NADP(+)-dependent)-like	2-alkenal reductase (NADP(+)-dependent)-like
LOC112323227	EEF1A lysine methyltransferase 1-like	EEF1A lysine methyltransferase 1-like
LOC112323229	eukaryotic peptide chain release factor GTP-binding subunit ERF3A-like	eukaryotic peptide chain release factor GTP-binding subunit ERF3A-like
LOC112323230	molybdopterin synthase sulfur carrier subunit	molybdopterin synthase sulfur carrier subunit
LOC112323232	probable glutathione S-transferase parA	probable glutathione S-transferase parA
LOC112323233	polypyrimidine tract-binding protein homolog 2-like	polypyrimidine tract-binding protein homolog 2-like
LOC112323234	bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic-like	bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic-like
LOC112323235	uncharacterized At4g15970-like	uncharacterized At4g15970-like
LOC112323236	mitochondrial uncoupling protein 5-like	mitochondrial uncoupling protein 5-like
LOC112323237	probable serine/threonine-protein kinase clkA	probable serine/threonine-protein kinase clkA
LOC112323238	vacuole membrane protein KMS1-like	vacuole membrane protein KMS1-like
LOC112323239	inositol monophosphatase 3-like	inositol monophosphatase 3-like
LOC112323240	G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290	G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290
LOC112323241	7-deoxyloganetin glucosyltransferase-like	7-deoxyloganetin glucosyltransferase-like
LOC112323242	cysteine synthase-like	cysteine synthase-like
LOC112323243	mediator of RNA polymerase II transcription subunit 15a-like	mediator of RNA polymerase II transcription subunit 15a-like
LOC112323244	MAP3K epsilon protein kinase 1-like	MAP3K epsilon protein kinase 1-like
LOC112323245	serine/threonine-protein kinase EDR1-like	serine/threonine-protein kinase EDR1-like
LOC112323246	uncharacterized LOC112323246	uncharacterized LOC112323246
LOC112323247	VIN3-like protein 1	VIN3-like protein 1
LOC112323248	hsp70 nucleotide exchange factor FES1-like	hsp70 nucleotide exchange factor FES1-like
LOC112323249	formimidoyltransferase-cyclodeaminase-like	formimidoyltransferase-cyclodeaminase-like
LOC112323250	protein FAR-RED ELONGATED HYPOCOTYL 3-like	protein FAR-RED ELONGATED HYPOCOTYL 3-like
LOC112323251	methyl-CpG-binding domain-containing protein 2-like	methyl-CpG-binding domain-containing protein 2-like
LOC112323252	cysteine synthase-like	cysteine synthase-like
LOC112323253	polygalacturonase 1 beta-like protein 3	polygalacturonase 1 beta-like protein 3
LOC112323254	F-box protein CPR1-like	F-box protein CPR1-like
LOC112323255	beta-glucosidase 12-like	beta-glucosidase 12-like
LOC112323256	haloacid dehalogenase-like hydrolase domain-containing protein 3	haloacid dehalogenase-like hydrolase domain-containing protein 3
LOC112323257	rhodanese-like domain-containing protein 6	rhodanese-like domain-containing protein 6
LOC112323258	50S ribosomal protein 5 alpha, chloroplastic-like	50S ribosomal protein 5 alpha, chloroplastic-like
LOC112323259	histidine kinase 5-like	histidine kinase 5-like
LOC112323260	protein S-acyltransferase 10-like	protein S-acyltransferase 10-like
LOC112323261	ATP-dependent DNA helicase Q-like 4A	ATP-dependent DNA helicase Q-like 4A
LOC112323262	probable protein phosphatase 2C 41	probable protein phosphatase 2C 41
LOC112323263	protein TRIGALACTOSYLDIACYLGLYCEROL 2, chloroplastic-like	protein TRIGALACTOSYLDIACYLGLYCEROL 2, chloroplastic-like
LOC112323264	GBF-interacting protein 1-like	GBF-interacting protein 1-like
LOC112323265	uncharacterized LOC112323265	uncharacterized LOC112323265
LOC112323266	uncharacterized LOC112323266	uncharacterized LOC112323266
LOC112323267	probable glycosyltransferase At5g03795	probable glycosyltransferase At5g03795
LOC112323268	beta-amyrin synthase-like	beta-amyrin synthase-like
LOC112323269	RING-H2 finger protein ATL56-like	RING-H2 finger protein ATL56-like
LOC112323270	DNA-directed RNA polymerase 2, chloroplastic/mitochondrial-like	DNA-directed RNA polymerase 2, chloroplastic/mitochondrial-like
LOC112323272	pentatricopeptide repeat-containing protein At5g65560	pentatricopeptide repeat-containing protein At5g65560
LOC112323273	uncharacterized LOC112323273	uncharacterized LOC112323273
LOC112323274	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.3	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.3
LOC112323275	HVA22-like protein f	HVA22-like protein f
LOC112323276	probable disease resistance protein At4g27220	probable disease resistance protein At4g27220
LOC112323277	uncharacterized LOC112323277	uncharacterized LOC112323277
LOC112323278	type I inositol polyphosphate 5-phosphatase 5-like	type I inositol polyphosphate 5-phosphatase 5-like
LOC112323279	lysosomal Pro-X carboxypeptidase-like	lysosomal Pro-X carboxypeptidase-like
LOC112323280	chloride channel protein CLC-d-like	chloride channel protein CLC-d-like
LOC112323281	probable glucan 1,3-beta-glucosidase A	probable glucan 1,3-beta-glucosidase A
LOC112323282	probable LRR receptor-like serine/threonine-protein kinase At3g47570	probable LRR receptor-like serine/threonine-protein kinase At3g47570
LOC112323283	probable terpene synthase 6	probable terpene synthase 6
LOC112323285	putative disease resistance protein RGA4	putative disease resistance protein RGA4
LOC112323288	putative disease resistance protein RGA3	putative disease resistance protein RGA3
LOC112323289	receptor-like protein 9DC3	receptor-like protein 9DC3
LOC112323290	glutamine synthetase cytosolic isozyme 2-like	glutamine synthetase cytosolic isozyme 2-like
LOC112323291	uncharacterized LOC112323291	uncharacterized LOC112323291
LOC112323292	glutamate receptor 2.8-like	glutamate receptor 2.8-like
LOC112323293	uncharacterized At4g08330, chloroplastic-like	uncharacterized At4g08330, chloroplastic-like
LOC112323294	uncharacterized LOC112323294	uncharacterized LOC112323294
LOC112323295	uncharacterized LOC112323295	uncharacterized LOC112323295
LOC112323296	uncharacterized LOC112323296	uncharacterized LOC112323296
LOC112323297	uncharacterized LOC112323297	uncharacterized LOC112323297
LOC112323298	uncharacterized LOC112323298	uncharacterized LOC112323298
LOC112323299	uncharacterized LOC112323299	uncharacterized LOC112323299
LOC112323300	FH protein interacting protein FIP2-like	FH protein interacting protein FIP2-like
LOC112323301	30S ribosomal protein S10, chloroplastic	30S ribosomal protein S10, chloroplastic
LOC112323303	uncharacterized LOC112323303	uncharacterized LOC112323303
LOC112323304	RNA polymerase II C-terminal domain phosphatase-like 4	RNA polymerase II C-terminal domain phosphatase-like 4
LOC112323305	GDSL esterase/lipase At1g29670-like	GDSL esterase/lipase At1g29670-like
LOC112323306	probable WRKY transcription factor 65	probable WRKY transcription factor 65
LOC112323307	uncharacterized LOC112323307	uncharacterized LOC112323307
LOC112323308	uncharacterized LOC112323308	uncharacterized LOC112323308
LOC112323309	probable glutathione S-transferase parC	probable glutathione S-transferase parC
LOC112323310	probable glutathione S-transferase parC	probable glutathione S-transferase parC
LOC112323312	uncharacterized LOC112323312	uncharacterized LOC112323312
LOC112323313	uncharacterized LOC112323313	uncharacterized LOC112323313
LOC112323314	uncharacterized LOC112323314	uncharacterized LOC112323314
LOC112323315	uncharacterized LOC112323315	uncharacterized LOC112323315
LOC112323316	uncharacterized LOC112323316	uncharacterized LOC112323316
LOC112323317	uncharacterized LOC112323317	uncharacterized LOC112323317
LOC112323318	eukaryotic translation initiation factor 3 subunit D-like	eukaryotic translation initiation factor 3 subunit D-like
LOC112323319	E3 ubiquitin-protein ligase CCNB1IP1 homolog	E3 ubiquitin-protein ligase CCNB1IP1 homolog
LOC112323320	berberine bridge enzyme-like 15	berberine bridge enzyme-like 15
LOC112323321	berberine bridge enzyme-like 15	berberine bridge enzyme-like 15
LOC112323322	berberine bridge enzyme-like 15	berberine bridge enzyme-like 15
LOC112323324	nuclear transcription factor Y subunit A-7-like	nuclear transcription factor Y subunit A-7-like
LOC112323325	uncharacterized LOC112323325	uncharacterized LOC112323325
LOC112323326	uncharacterized LOC112323326	uncharacterized LOC112323326
LOC112323328	berberine bridge enzyme-like 13	berberine bridge enzyme-like 13
LOC112323330	berberine bridge enzyme-like 13	berberine bridge enzyme-like 13
LOC112323331	uncharacterized LOC112323331	uncharacterized LOC112323331
LOC112323332	protein DMR6-LIKE OXYGENASE 1-like	protein DMR6-LIKE OXYGENASE 1-like
LOC112323333	DNA damage-repair/toleration protein DRT100-like	DNA damage-repair/toleration protein DRT100-like
LOC112323334	BAG family molecular chaperone regulator 2-like	BAG family molecular chaperone regulator 2-like
LOC112323335	uncharacterized LOC112323335	uncharacterized LOC112323335
LOC112323336	TMV resistance protein N-like	TMV resistance protein N-like
LOC112323337	receptor-like protein 9DC3	receptor-like protein 9DC3
LOC112323338	uncharacterized LOC112323338	uncharacterized LOC112323338
LOC112323339	uncharacterized LOC112323339	uncharacterized LOC112323339
LOC112323340	UDP-glycosyltransferase 79B30-like	UDP-glycosyltransferase 79B30-like
LOC112323341	uncharacterized LOC112323341	uncharacterized LOC112323341
LOC112323342	uncharacterized LOC112323342	uncharacterized LOC112323342
LOC112323343	uncharacterized LOC112323343	uncharacterized LOC112323343
LOC112323344	uncharacterized LOC112323344	uncharacterized LOC112323344
LOC112323345	uncharacterized LOC112323345	uncharacterized LOC112323345
LOC112323346	ras-related protein RABA1f-like	ras-related protein RABA1f-like
LOC112323347	uncharacterized LOC112323347	uncharacterized LOC112323347
LOC112323348	uncharacterized LOC112323348	uncharacterized LOC112323348
LOC112323349	uncharacterized LOC112323349	uncharacterized LOC112323349
LOC112323350	uncharacterized LOC112323350	uncharacterized LOC112323350
LOC112323351	putative disease resistance RPP13-like protein 1	putative disease resistance RPP13-like protein 1
LOC112323352	uncharacterized LOC112323352	uncharacterized LOC112323352
LOC112323353	uncharacterized LOC112323353	uncharacterized LOC112323353
LOC112323354	uncharacterized LOC112323354	uncharacterized LOC112323354
LOC112323355	uncharacterized LOC112323355	uncharacterized LOC112323355
LOC112323356	uncharacterized LOC112323356	uncharacterized LOC112323356
LOC112323357	uncharacterized LOC112323357	uncharacterized LOC112323357
LOC112323358	putative receptor-like protein kinase At4g00960	putative receptor-like protein kinase At4g00960
LOC112323359	cysteine-rich receptor-like protein kinase 25	cysteine-rich receptor-like protein kinase 25
LOC112323360	putative receptor-like protein kinase At4g00960	putative receptor-like protein kinase At4g00960
LOC112323361	uncharacterized LOC112323361	uncharacterized LOC112323361
LOC112323362	uncharacterized LOC112323362	uncharacterized LOC112323362
LOC112323363	uncharacterized LOC112323363	uncharacterized LOC112323363
LOC112323364	uncharacterized LOC112323364	uncharacterized LOC112323364
LOC112323365	uncharacterized LOC112323365	uncharacterized LOC112323365
LOC112323366	uncharacterized LOC112323366	uncharacterized LOC112323366
LOC112323367	lysine-specific demethylase JMJ25-like	lysine-specific demethylase JMJ25-like
LOC112323369	TMV resistance protein N-like	TMV resistance protein N-like
LOC112323370	TMV resistance protein N-like	TMV resistance protein N-like
LOC112323371	uncharacterized LOC112323371	uncharacterized LOC112323371
